AssuntoReuniao,Ata,DataReuniao,ReuniaoAtiva,DescricaoTarefa,ResponsavelTarefa,TarefaAtiva
NOVA REUNIAO DE TESTE,TEste ATA,26/01/2024 18:10:31,True,TAREFA 1,ROGER,True
NOVA REUNIAO DE TESTE,,15/01/2040 22:00:00,True,TAREFA 1,ROGER,True
Teste Assunto,fsffsgsgs,12/01/2026 12:00:00,True,Nova Tarefa,Resp1,True
NOVA REUNIAO DE TESTE,TEste ATA,26/01/2024 18:10:31,True,Nova Tarefa2,Resp2,True
Teste Assunto,fsffsgsgs,12/01/2026 12:00:00,True,Nova Tarefa3,Resp3,True
Teste Assunto,fsffsgsgs,12/01/2026 12:00:00,True,Nova Tarefa4,Resp4,True
Teste Assunto,fsffsgsgs,12/01/2026 12:00:00,True,tarefa para trabalho,funcionario 2,True
NOVA REUNIAO DE TESTE,TEste ATA,26/01/2024 18:10:31,True,Tarefa 1,Resp 1,True
NOVA REUNIAO DE TESTE,TEste ATA,26/01/2024 18:10:31,True,Tarefa 2,Resp 2,True
NOVA REUNIAO DE TESTE,TEste ATA,26/01/2024 18:10:31,True,Tarefa 3,Resp 3,True
